# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileByIdCache.hits,1773650275901000000,1773650310306000000,67
VFS.invertedFileNameIndex.requests,1773650275901000000,1773650310306000000,4
VFS.fileChildByName,1773650275901000000,1773650310306000000,816599
VFS.fileByIdCache.misses,1773650275901000000,1773650310306000000,137836
cacheStateStorage.get.duration,1773650275901000000,1773650310306000000,0
cacheStateStorage.get.counter,1773650275901000000,1773650310306000000,12
cacheStateStorage.set.duration,1773650275901000000,1773650310306000000,33
cacheStateStorage.set.counter,1773650275901000000,1773650310306000000,18
Indexes.entries.lookupDuration90PMs,1773650275901000000,1773650310306000000,0.0
Indexes.entries.lookupDurationMaxMs,1773650275901000000,1773650310306000000,8.0
Indexes.stubs.lookupDurationAvgMs,1773650275901000000,1773650310306000000,0.07695738555731257
Indexing.writesQueuedMin,1773650275901000000,1773650310306000000,0
Indexing.cache.totalCacheEvicted,1773650275901000000,1773650310306000000,627883
Indexing.writer_3.totalTimeSpentWritingMs,1773650275901000000,1773650310306000000,1291
Indexing.writesQueuedAvg,1773650275901000000,1773650310306000000,2.3934426229508197
Indexing.cache.totalCacheAccesses,1773650275901000000,1773650310306000000,3223409
Indexing.totalTimeIndexersSleptMs,1773650275901000000,1773650310306000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1773650275901000000,1773650310306000000,3518
Indexes.stubs.lookups,1773650275901000000,1773650310306000000,24653
Indexing.writesQueuedMax,1773650275901000000,1773650310306000000,79
Indexes.allKeys.lookupDuration90PMs,1773650275901000000,1773650310306000000,5.0
Indexes.stubs.lookupDurationMaxMs,1773650275901000000,1773650310306000000,43.0
Indexes.entries.lookupDurationAvgMs,1773650275901000000,1773650310306000000,0.03604531410916581
Indexing.writer_2.totalTimeSpentWritingMs,1773650275901000000,1773650310306000000,2064
Indexes.allKeys.lookupDurationAvgMs,1773650275901000000,1773650310306000000,3.0
Indexes.allKeys.lookups,1773650275901000000,1773650310306000000,2
Indexing.cache.totalCacheMisses,1773650275901000000,1773650310306000000,627883
Indexes.allKeys.lookupDurationMaxMs,1773650275901000000,1773650310306000000,5.0
Indexes.stubs.lookupDuration90PMs,1773650275901000000,1773650310306000000,0.0
Indexes.entries.lookups,1773650275901000000,1773650310306000000,1942
Indexing.writer_0.totalTimeSpentWritingMs,1773650275901000000,1773650310306000000,3212
FilePageCache.pageFastCacheHits,1773650275901000000,1773650310306000000,1485506
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1773650275901000000,1773650310306000000,41943040
FilePageCache.totalPageDisposalsUs,1773650275901000000,1773650310306000000,796
FilePageCacheLockFree.totalPagesRequestsMs,1773650275901000000,1773650310306000000,0
FilePageCacheLockFree.heapBytesInUse,1773650275901000000,1773650310306000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1773650275901000000,1773650310306000000,0
FilePageCache.pageHits,1773650275901000000,1773650310306000000,0
FilePageCache.maxRegisteredFiles,1773650275901000000,1773650310306000000,570
FilePageCacheLockFree.totalBytesWritten,1773650275901000000,1773650310306000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1773650275901000000,1773650310306000000,0
DirectByteBufferAllocator.reclaimed,1773650275901000000,1773650310306000000,43
FilePageCacheLockFree.totalBytesRequested,1773650275901000000,1773650310306000000,0
FilePageCache.capacityInBytes,1773650275901000000,1773650310306000000,503316478
FilePageCacheLockFree.housekeeperTurnsDone,1773650275901000000,1773650310306000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1773650275901000000,1773650310306000000,0
FilePageCacheLockFree.nativeBytesInUse,1773650275901000000,1773650310306000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1773650275901000000,1773650310306000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1773650275901000000,1773650310306000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1773650275901000000,1773650310306000000,0
FilePageCache.maxCacheSizeInBytes,1773650275901000000,1773650310306000000,404750336
FilePageCacheLockFree.totalNativeBytesAllocated,1773650275901000000,1773650310306000000,0
FilePageCacheLockFree.totalPagesReadMs,1773650275901000000,1773650310306000000,0
FilePageCache.uncachedFileAccess,1773650275901000000,1773650310306000000,1011
StorageLockContext.competingThreads.avg,1773650275901000000,1773650310306000000,0.05970149253731343
FilePageCacheLockFree.housekeeperTurnsSkipped,1773650275901000000,1773650310306000000,0
FilePageCacheLockFree.totalPagesHandedOver,1773650275901000000,1773650310306000000,0
FilePageCacheLockFree.totalPagesWritten,1773650275901000000,1773650310306000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1773650275901000000,1773650310306000000,0
FilePageCacheLockFree.totalPagesWriteMs,1773650275901000000,1773650310306000000,0
FilePageCacheLockFree.totalPagesRequested,1773650275901000000,1773650310306000000,0
DirectByteBufferAllocator.hits,1773650275901000000,1773650310306000000,3
FileChannelInterruptsRetryer.totalRetriedAttempts,1773650275901000000,1773650310306000000,0
StorageLockContext.competingThreads.max,1773650275901000000,1773650310306000000,2
DirectByteBufferAllocator.disposed,1773650275901000000,1773650310306000000,346
FilePageCacheLockFree.totalPagesReclaimed,1773650275901000000,1773650310306000000,0
FilePageCache.totalPageLoadsUs,1773650275901000000,1773650310306000000,349960
DirectByteBufferAllocator.misses,1773650275901000000,1773650310306000000,386
FilePageCache.pageLoads,1773650275901000000,1773650310306000000,389
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1773650275901000000,1773650310306000000,41943040
StorageLockContext.competingThreads.90P,1773650275901000000,1773650310306000000,0
FilePageCacheLockFree.totalPagesAllocated,1773650275901000000,1773650310306000000,0
FilePageCache.disposedBuffers,1773650275901000000,1773650310306000000,389
FilePageCacheLockFree.totalBytesRead,1773650275901000000,1773650310306000000,0
jps.facet.change.listener.init.bridge.ms,1773650275901000000,1773650310306000000,1
jps.global.get.libraries.ms,1773650275901000000,1773650310306000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1773650275901000000,1773650310306000000,2
workspaceModel.mutableEntityStorage.remove.entity.ms,1773650275901000000,1773650310306000000,0
jps.storage.jps.conf.reader.load.component.ms,1773650275901000000,1773650310306000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1773650275901000000,1773650310306000000,15
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1773650275901000000,1773650310306000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1773650275901000000,1773650310306000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1773650275901000000,1773650310306000000,20
jps.modifiable.module.model.bridge.renaming.ms,1773650275901000000,1773650310306000000,0
workspaceModel.load.cache.metadata.from.file.ms,1773650275901000000,1773650310306000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1773650275901000000,1773650310306000000,3
jps.apply.loaded.storage.ms,1773650275901000000,1773650310306000000,36
jps.modifiable.module.model.bridge.load.module.ms,1773650275901000000,1773650310306000000,0
workspaceModel.global.updates.count,1773650275901000000,1773650310306000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1773650275901000000,1773650310306000000,8
jps.global.handle.changed.events.ms,1773650275901000000,1773650310306000000,0
