Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
Eslint;JavaScript and TypeScript/Code quality tools;ESLint;JavaScript;LOCAL;8.08;46.52%;504;95
JSDeprecatedSymbols;JavaScript and TypeScript/General;Deprecated symbol used;JavaScript;LOCAL;1.42;8.19%;34;95
JSIgnoredPromiseFromCall;JavaScript and TypeScript/Async code and promises;Result of method call returning a promise is ignored;JavaScript;LOCAL;1.21;6.95%;4;95
KarmaConfigFile;JavaScript and TypeScript/Unit testing;Invalid Karma configuration file;JavaScript;LOCAL;1.06;6.10%;0;95
JSUnusedAssignment;JavaScript and TypeScript/Unused symbols;Unused assignment;JavaScript;LOCAL;0.94;5.43%;0;95
JSSuspiciousNameCombination;JavaScript and TypeScript/Probable bugs;Suspicious variable/parameter name combination;JavaScript;LOCAL;0.47;2.72%;0;95
PointlessBooleanExpressionJS;JavaScript and TypeScript/Control flow issues;Pointless statement or boolean expression;JavaScript;LOCAL;0.46;2.67%;0;95
JSObjectNullOrUndefined;JavaScript and TypeScript/Control flow issues;Object is 'null' or 'undefined';JavaScript;LOCAL;0.42;2.41%;0;95
TypeScriptValidateTypes;JavaScript and TypeScript/TypeScript;Type mismatch;TypeScript;LOCAL;0.41;2.39%;0;95
ES6MissingAwait;JavaScript and TypeScript/Async code and promises;Missing await for an async function call;JavaScript;LOCAL;0.40;2.29%;0;95
JSUnusedLocalSymbols;JavaScript and TypeScript/Unused symbols;Unused local symbol;JavaScript;LOCAL;0.34;1.96%;18;95
AngularInvalidI18nAttribute;Angular;Invalid i18n attribute;HtmlCompatible;LOCAL;0.24;1.37%;0;2
NpmVulnerableApiCode;JavaScript and TypeScript/Security;Vulnerable API usage;JavaScript;LOCAL;0.19;1.09%;0;95
JSPotentiallyInvalidConstructorUsage;JavaScript and TypeScript/Probable bugs;Potentially invalid constructor usage;JavaScript;LOCAL;0.19;1.08%;0;95
ES6UnusedImports;JavaScript and TypeScript/Imports and dependencies;Unused import;JavaScript;LOCAL;0.18;1.02%;10;95
JSAccessibilityCheck;JavaScript and TypeScript/General;Inaccessible @private and @protected members referenced;JavaScript;LOCAL;0.14;0.80%;0;95
ES6PreferShortImport;JavaScript and TypeScript/General;Import can be shortened;JavaScript;LOCAL;0.11;0.65%;0;95
CheckDependencyLicenses;Dependency analysis;Check dependency licenses;;GLOBAL;0.11;0.63%;0;1
AngularInvalidTemplateReferenceVariable;Angular;Unbound or ambiguous template reference variable;HtmlCompatible;LOCAL;0.10;0.58%;0;2
